Species	PAR	S3	S2	S1	 S0
White-throated tinamou	1	NA	0.497826087	0.227488152	0
Undulated tinamou	1	NA	0.505347594	0.234567901	0
Little tinamou	1	NA	0.488607595	0.25	0.031914894
Thicket tinamou	1	NA	0.651595745	0.230769231	0.011560694
Hooded tinamou	1	NA	NA	0.562913907	0
Tawny-breasted Tinamou	1	NA	NA	0.50310559	0.038043478
Andean tinamou	1	NA	NA	0.195266272	0
Ornate tinamou	1	NA	NA	0.127659574	0
Chilean tinamou	1	NA	1	0.388888889	0.015873016
Elegant crested tinamou	1	1	0.545023697	0.201342282	0.026041667
Brown kiwi	1	NA	NA	0.16091954	0.017045455
Greater rhea	1	NA	NA	0.417910448	0.035714286
Southern cassowary	1	NA	NA	0.03125	0.056818182
Emu	1	NA	NA	0.035714286	0.075144509
Ostrich	1	NA	NA	0.490566038	0
