Species	PAR	S3	S2	S1	 S0
White-throated tinamou	1	NA	0.493611111	0.072774869	0
Undulated tinamou	1	NA	0.314450867	0.071351351	0.001197605
Little tinamou	1	NA	0.300837989	0.045408163	0.001818182
Thicket tinamou	1	NA	0.401186944	0.05078534	0.002380952
Hooded tinamou	1	NA	NA	0.157068063	0.001142857
Tawny-breasted Tinamou	1	NA	NA	0.162051282	0.001162791
Andean tinamou	1	NA	NA	0.057894737	0.001162791
Ornate tinamou	1	NA	NA	0.051282051	0.000561798
Chilean tinamou	1	NA	1	0.051546392	0.002366864
Elegant crested tinamou	1	1	0.395566502	0.057458564	0.022360248
Brown kiwi	1	NA	NA	0.124028269	0.010638298
Greater rhea	1	NA	NA	0.397674419	0.012371134
Southern cassowary	1	NA	NA	0.078723404	0.019902913
Emu	1	NA	NA	0.040816327	0.03952381
Ostrich	1	NA	NA	0.468571429	0
